ivmeX,ivmeY,ivmeZ,tmp,GyroX,GyroY,GyroZ,A0,A1,A2,ivmeX2,ivmeY2,ivmeZ2,tmp2,GyroX2,GyroY2,GyroZ2,A02,A12,A22
9716,-8396,10792,29.61,1466,-352,2173,0,834,935,-9572,-2724,11440,28.67,-239,564,2668,812,388,168
9988,-8964,10692,29.61,3980,1459,4576,1,831,933,-9796,-3408,10052,28.62,-1976,-138,3863,816,370,154
7108,-7844,12656,29.66,5349,612,1834,0,832,922,-9736,-4176,13312,28.58,-3960,-7198,3565,832,335,152
7228,-6576,12128,29.66,4520,724,3264,0,828,902,-9152,-3872,13028,28.58,-2817,-6576,1705,842,440,153
6656,-7404,10528,29.61,-1194,2193,2833,0,808,824,-6404,-2400,14952,28.58,-115,-3691,3288,864,499,204
4952,-7228,14712,29.61,2887,1000,4531,0,803,769,-6160,-1868,15000,28.67,1640,-434,-120,871,462,226
6012,-6896,14660,29.57,-177,1020,3179,0,802,680,-5424,-3308,14320,28.58,-1060,107,494,874,503,235
4428,-7876,14196,29.66,652,-1650,2885,0,790,651,-6708,-2396,12992,28.53,-303,3699,191,873,463,192
6388,-7912,13276,29.61,-4154,-1076,2848,0,763,617,-8632,-3996,13360,28.53,-939,4594,326,869,442,144
4172,-8528,14852,29.66,-5159,-1441,2642,0,748,546,-8704,-5308,12288,28.58,538,7005,-524,863,386,131
3444,-6888,13652,29.57,5226,821,2795,0,741,496,-9732,-3292,11592,28.58,1382,2471,258,865,392,107
3244,-6716,14500,29.61,8039,1488,1335,0,736,454,-9776,-2260,11908,28.48,963,-4097,1592,880,359,149
1180,-5452,17376,29.52,4445,575,2713,0,715,396,-6696,-3404,11440,28.58,2006,-6080,4424,884,411,166
1540,-4500,16112,29.47,13719,-318,-1811,0,716,392,-7000,-4292,12736,28.58,1346,4627,-844,886,443,168
16580,-10224,26000,29.57,-32768,4937,32767,0,708,388,-10568,-1464,14000,28.58,-9667,11269,-7448,884,439,162
1248,552,13604,29.61,-11590,1619,-590,0,669,382,-5628,-5956,10240,28.53,-1768,-7417,3156,881,435,181
3592,-5080,14088,29.61,-15581,4875,1392,0,662,367,-10440,-4028,12396,28.58,-1190,-6777,9461,874,344,161
520,-7528,16044,29.57,-712,2546,311,0,664,367,-10608,-3100,12560,28.67,-2361,-4254,3777,862,305,97
-1884,-4752,11688,29.57,71,3869,2840,0,656,368,-7808,-3780,13024,28.62,1196,-1283,2002,841,326,63
-944,-8584,12340,29.47,-1494,3242,1392,0,660,375,-8808,-1928,12796,28.53,-672,50,-2261,853,346,104
-2400,3242,1392,29.47,-2400,3242,1392,0,664,377,-7600,-4004,12348,28.48,-1370,95,-1445,857,355,108
-2400,3242,1392,29.47,-2400,3242,1392,0,656,375,-6444,-3924,11944,28.53,-138,-715,195,857,358,100
-2400,3242,1392,29.47,-2400,3242,1392,0,632,379,-7612,-4444,12908,28.53,-155,7168,-3831,856,357,91
-2400,3242,1392,29.47,-2400,3242,1392,0,624,382,-9012,-3792,11332,28.58,4595,1437,-6167,855,372,97
-2400,3242,1392,29.47,-2400,3242,1392,0,629,393,-9144,-3392,11200,28.48,4612,6450,-3343,859,359,98
-2400,3242,1392,29.47,-2400,3242,1392,0,642,385,-11116,-3968,9776,28.58,1459,9965,-5842,864,368,121
-2400,3242,1392,29.47,-2400,3242,1392,0,637,397,-10236,-3600,7800,28.53,-725,-1922,-92,859,359,129
-2400,3242,1392,29.47,-2400,3242,1392,0,644,397,-10916,-4168,9152,28.58,814,736,-207,852,394,130
-2400,3242,1392,29.47,-2400,3242,1392,0,642,411,-10688,-4276,9884,28.53,1892,1208,628,818,393,96
-2400,3242,1392,29.47,-2400,3242,1392,0,641,394,-11412,-4208,9896,28.53,2563,-395,1449,797,400,123
-5008,-7864,12348,29.42,-613,-71,-469,0,647,402,-11384,-3436,9972,28.44,326,-707,2214,784,376,115
-5108,-8692,11792,29.47,301,406,-266,0,659,386,-12680,-2768,9628,28.39,2216,3586,1793,846,373,121
-4840,-7404,12412,29.57,820,676,354,0,655,381,-13408,-2412,9540,28.39,5929,-2377,2350,914,385,114
-5012,-8140,12108,29.47,-795,545,-980,0,683,380,-10348,552,7820,28.53,-6717,3850,7125,447,321,63
-4612,-8416,12668,29.42,-1141,-1574,-1159,0,691,412,-10236,-1100,11252,28.48,1830,3944,3094,323,297,80
-3860,-9328,12004,29.47,-716,-1450,-1096,0,705,406,-11060,-524,11056,28.44,4371,1586,-212,257,328,71
-4000,-7476,11696,29.52,-3346,44,-425,0,708,412,-9612,-300,10464,28.48,-3015,1462,-960,239,327,73
-4860,-8492,12524,29.42,-1561,2006,146,0,675,413,-10164,4,12196,28.48,-5754,-1768,-2008,223,328,72
-5440,-8216,12028,29.42,462,1290,440,0,678,421,-10688,-2616,11304,28.34,-6085,4367,-2787,218,337,81
-5180,-7908,12164,29.33,-269,1847,57,0,675,430,-8352,-4088,10736,28.53,1380,-99,-6007,222,356,87
-4540,-8700,11624,29.42,1274,2391,-1055,0,701,433,-9932,-3904,11356,28.48,-4315,-5485,-4385,204,359,79
-3940,-8572,16288,29.42,4127,-6696,-2399,0,717,435,-9860,-7408,10460,28.48,-14678,-5239,-5757,202,360,73
-1152,5492,2500,29.47,-4920,29797,14879,0,720,432,-9708,-7880,10276,28.34,-4099,-4183,-2123,209,350,56
-7484,-7628,9032,29.52,504,2383,-1280,0,720,405,-8844,-7844,10864,28.44,-113,-2321,-1472,205,363,59
-5676,-6588,8992,29.42,-2854,-616,-228,0,719,407,-7896,-7656,12364,28.39,-5006,-3998,-5803,208,369,66
-7308,-7992,10928,29.42,-985,39,-647,0,713,405,-4236,-8620,10600,28.39,-4702,-4595,443,201,360,49
-7292,-8136,11080,29.42,-550,150,-238,0,713,405,-7676,-9992,10944,28.48,4138,153,2815,204,361,51
-7276,-8012,10832,29.33,-456,127,-200,0,699,399,-6524,-3472,8900,28.58,6919,14286,3184,195,379,66
-7156,-7848,10668,29.47,-339,347,-109,0,662,395,-13968,-3276,2060,28.39,-11779,-4610,18240,192,367,57
-7124,-7804,10212,29.47,11,19,5,0,663,394,-7980,-7308,11952,28.48,8562,18717,-664,194,368,59
-7308,-8000,10908,29.38,-268,67,-139,0,689,395,-5632,-8284,12968,28.39,3316,4719,-275,199,379,63
-7356,-8132,10956,29.38,-161,-118,-223,3,697,404,-5540,-8004,12668,28.39,-1537,-2430,382,204,378,49
-7136,-7872,10412,29.38,-27,-197,-173,0,703,390,-6024,-7684,12452,28.39,-1534,-2251,274,204,386,54
-8920,-7024,10748,29.42,-9512,-605,-1382,0,705,370,-6092,-7848,12204,28.44,-542,-812,152,203,379,62
-8428,-10404,13296,29.33,-1739,922,483,0,709,396,-5972,-7784,12384,28.39,-178,-249,187,208,373,69
-6688,-6552,9448,29.38,-584,527,366,1,705,385,-5884,-7744,12396,28.44,-193,-209,132,210,373,77
-8476,-8448,10840,29.38,1821,997,-1190,0,717,387,-5788,-7836,12380,28.29,-167,-248,67,213,370,73
-4164,-7316,14492,29.38,4029,1120,-2253,0,707,392,-5808,-7904,12488,28.29,-73,-95,85,208,370,59
-9116,-6692,7632,29.52,-3826,1047,2714,0,720,383,-5880,-7764,12412,28.39,-91,-149,83,204,375,63
-8612,-7144,14288,29.42,10011,-4262,1152,0,714,406,-5780,-7852,12372,28.39,-135,-69,41,209,380,63
-5432,-2764,12320,29.38,-3287,-6311,3735,0,721,400,-5876,-7892,12388,28.25,-97,-85,86,209,386,66
-5656,-10352,12076,29.42,-464,-4596,-81,1,793,386,-5768,-7892,12388,28.29,-36,53,74,215,385,75
-5116,-6996,11216,29.33,5701,-4721,384,0,480,375,-5832,-7808,12620,28.29,-79,-112,47,213,387,71
-4388,-5064,13976,29.33,14,-5159,-3485,0,418,376,-5816,-7884,12528,28.39,-54,-54,68,218,382,75
-3380,-4940,13640,29.33,1147,-2924,-298,0,330,372,-5704,-7808,12440,28.29,-54,-100,34,207,384,78
-1952,-6104,12868,29.38,-461,-2250,4703,0,316,382,-5860,-7860,12344,28.39,-154,-209,59,207,391,75
-3192,-6440,13148,29.28,-679,2070,2315,0,324,396,-5788,-7816,12452,28.25,-201,-349,72,206,392,80
-2836,-3432,13436,29.33,2922,1458,2179,0,339,390,-5692,-7860,12436,28.29,-39,-44,-6,208,381,89
-6208,-2432,15552,29.28,5122,4785,2307,0,343,405,-5708,-7876,12404,28.34,-69,-106,31,208,381,85
-3468,-4764,15504,29.38,-4742,-798,-1193,0,346,379,-5720,-7848,12356,28.25,-39,-52,20,208,384,75
-3432,-3184,13496,29.33,11892,1214,-3342,0,319,391,-5624,-7856,12360,28.25,-77,-159,-27,211,387,90
-3052,-3780,14156,29.28,-6003,-668,358,0,321,399,-5664,-7900,12468,28.34,-7,-55,24,208,388,81
-3788,-3924,14308,29.28,-1100,53,-62,0,322,388,-5620,-7844,12660,28.34,-33,-10,23,206,393,78
-3744,-4264,14140,29.24,-2968,-388,51,0,325,386,-5652,-7848,12460,28.25,-67,-61,6,204,384,70
-2644,-6500,13576,29.24,-1523,161,-503,0,325,382,-5740,-7880,12600,28.29,-44,-57,-21,208,388,70
-5452,-3540,14652,29.33,412,-1178,-1013,0,328,372,-5556,-7908,12436,28.29,-3,-50,-5,201,390,60
-2196,-5012,14672,29.24,2038,-546,-267,2,323,369,-5656,-7832,12404,28.15,-18,-11,39,200,397,69
-2856,-2868,13236,29.24,1019,220,-1226,0,323,372,-5632,-7908,12540,28.34,-19,-22,13,202,399,73
-292,-176,6584,29.24,-5046,-3240,2300,0,330,369,-5704,-7892,12524,28.15,-41,-40,10,197,395,76
-5588,-5036,19340,29.24,-990,4425,3601,0,319,382,-5684,-7864,12496,28.25,-41,-32,9,197,398,70
-4860,-5820,13588,29.28,-5756,1558,3654,0,326,383,-5628,-7876,12376,28.25,-51,-47,0,191,403,71
-6044,-6228,12836,29.24,2470,799,1328,0,331,380,-5596,-7936,12344,28.20,-28,-3,-8,195,400,72
-2960,-6400,12848,29.33,-11533,-3287,4762,0,338,381,-5572,-7888,12384,28.25,-40,-16,-6,193,404,74
-5628,-5856,13272,29.19,1385,575,488,0,338,388,-5684,-7944,12420,28.25,-68,-63,-5,193,402,73
-4064,-5812,14276,29.09,-312,-82,157,0,336,390,-5608,-7872,12460,28.29,-48,-59,-22,193,394,75
-4408,-5664,13904,29.24,-66,31,-206,0,333,393,-5568,-7796,12532,28.29,-35,-31,-8,193,396,76
-4232,-5600,13728,29.28,-177,3,-238,0,334,392,-5592,-7852,12448,28.20,-29,-42,15,190,395,70
-4328,-5496,13736,29.19,-226,33,-132,0,334,392,-5588,-7920,12540,28.25,-52,3,8,187,404,72
-4316,-5476,13756,29.24,-134,23,-191,0,335,389,-5676,-7888,12544,28.25,-35,-6,2,183,408,70
-4332,-5540,13676,29.24,-275,23,-240,0,337,386,-5468,-7876,12484,28.20,-22,1,-2,179,415,70
-4292,-5476,13656,29.28,-287,22,-234,0,336,390,-5596,-7796,12516,28.15,-35,-2,11,180,412,74
-4228,-5552,13840,29.14,-274,-41,-215,0,334,398,-5640,-7928,12452,28.29,-25,3,13,175,413,72
-4348,-5580,13620,29.24,-282,31,-135,0,329,396,-5604,-7816,12700,28.25,-27,-6,31,178,415,68
-4252,-5544,13836,29.28,-287,15,-222,0,322,390,-5732,-7956,12564,28.15,-61,-25,-18,179,415,76
-4260,-5624,13816,29.09,-265,-4,-245,0,325,385,-5568,-7812,12524,28.15,-15,-29,-8,178,412,80
-4276,-5552,13604,29.14,-252,-7,-212,0,330,392,-5556,-7844,12280,28.15,-31,-37,-7,178,413,82
-4300,-5612,13880,29.19,-260,-28,-183,0,327,395,-5684,-7944,12488,28.20,-44,-25,1,179,408,80
-4292,-5604,13648,29.14,-238,-28,-192,0,332,395,-5604,-7948,12432,28.11,-35,-36,-20,177,409,83
-4344,-5640,13612,29.14,-260,-8,-219,0,331,393,-5532,-7904,12484,28.20,-23,-4,-10,181,407,88
-4376,-5636,13796,29.19,-223,-24,-246,0,332,393,-5688,-7892,12612,28.06,-43,-33,8,185,405,86
-4284,-5600,13588,29.14,-252,-7,-207,0,327,395,-5612,-7840,12452,28.15,-44,-21,5,180,410,86
-4352,-5592,13744,29.14,-238,-21,-160,0,330,395,-5656,-7864,12512,28.20,-22,-15,16,180,410,79
-4356,-5628,13780,29.28,-201,-42,-189,0,328,399,-5592,-7920,12552,28.20,-26,-8,-3,181,414,80
-4308,-5640,13716,29.19,-250,-48,-241,0,329,398,-5552,-7832,12556,28.15,-41,-25,8,179,412,79
-4244,-5616,13580,29.14,-252,-7,-241,0,327,400,-5704,-7876,12520,28.06,-53,-18,9,181,415,74
-4296,-5536,13672,29.09,-275,11,-178,0,327,399,-5648,-7876,12624,28.11,-35,-23,-7,178,413,75
-4296,-5612,13700,29.09,-265,5,-173,0,325,396,-5536,-7804,12492,28.11,-48,-24,7,180,418,79
-4264,-5588,13712,29.14,-237,-2,-195,0,329,398,-5572,-7832,12452,28.15,-49,-30,-2,179,409,93
-4320,-5708,13768,29.00,-193,19,-248,0,325,396,-5564,-7824,12444,28.15,-36,-42,4,179,409,95
-4380,-5668,13596,29.14,-237,-27,-231,0,325,395,-5628,-7980,12540,28.01,-55,-12,-7,181,409,98
-4304,-5556,13712,29.05,-236,-12,-187,0,328,394,-5700,-7928,12560,28.11,-28,-11,2,182,412,99
-4324,-5576,13684,29.09,-250,-22,-180,0,326,392,-5640,-7868,12568,28.15,-43,-16,-13,182,407,95
