ivmeX,ivmeY,ivmeZ,tmp,GyroX,GyroY,GyroZ,A0,A1,A2,ivmeX2,ivmeY2,ivmeZ2,tmp2,GyroX2,GyroY2,GyroZ2,A02,A12,A22
2940,-11864,13124,28.86,-15433,-2814,1602,0,470,863,-3492,7752,11056,27.92,7171,533,6152,351,391,40
360,-12960,4192,28.91,2563,-8401,305,0,251,510,-4436,4944,11736,27.92,-6293,-7655,-3726,360,302,58
4800,-21868,15992,28.77,11354,4639,-2383,0,277,417,-3332,12940,18064,27.87,-5343,-7727,1674,700,365,389
5264,-8516,13692,28.81,8998,461,-1625,0,426,680,-4084,5532,15104,27.92,9931,-2445,1674,908,536,700
7224,-10124,13312,28.91,1078,-4406,-2276,1,679,872,-2944,10088,14144,27.97,-3111,1347,-1139,907,642,773
4592,-9112,13272,28.81,-4300,3635,4858,0,721,932,-2256,4988,15876,27.97,-2243,3672,-847,744,570,689
632,-11036,11340,28.81,-8764,-1706,-316,0,438,894,-4220,9640,8644,27.97,5670,7756,7025,317,339,76
1448,-16388,9408,28.86,2626,-8520,-430,4,294,491,-2676,6100,12704,27.87,-4593,-7507,-3996,340,297,68
1388,-2964,12112,28.86,7945,2877,-2014,0,313,481,-836,5180,11204,27.87,-9367,-4617,7978,353,507,119
7620,4004,21752,28.91,7331,2790,4936,0,476,385,-5132,5540,14364,27.97,-1781,-1117,68,880,798,589
1136,-9392,12648,28.86,779,-3108,-3520,0,782,905,-3072,7420,14900,27.92,504,-109,-596,917,852,709
4632,-9388,13596,28.95,-1982,3387,2670,7,847,949,-2728,5704,15044,27.97,-792,5069,46,849,860,748
2176,-10816,12032,28.81,-9015,-1353,1755,1,684,928,-1608,5872,19356,27.97,6977,8040,-2114,441,782,697
1300,-15784,10312,28.86,-8702,-10134,9827,0,471,653,-10684,2284,7036,27.97,3190,3999,-2865,355,375,159
-96,-2720,7620,28.86,7747,1612,-10553,0,372,438,-6680,1896,6708,27.97,-4394,-7946,-5516,363,294,41
14528,2700,15332,28.77,15843,2654,-6478,1,479,778,-3952,2900,16800,27.87,466,-9738,5952,366,620,459
3212,-7596,14124,28.81,2103,-4736,-3450,0,768,952,-3188,4192,14644,27.97,3036,-1005,156,904,788,622
4820,-9012,13544,28.77,-2310,3350,2405,0,821,979,-4052,10200,14456,27.97,-1995,2711,-426,924,796,522
2076,-8756,13516,28.81,-12852,-1389,3952,0,518,977,-1320,-288,14696,27.97,-5379,1538,-522,872,694,359
2848,-13100,12548,28.86,-7874,-4359,1926,0,430,835,-7284,9020,15600,27.97,4122,12778,-7498,415,475,281
2060,-4792,8620,28.91,59,-248,-3517,0,315,483,-6872,-7780,1524,27.97,-5018,1800,-9460,364,344,36
12504,-31092,22264,28.86,9177,7935,-6189,0,290,372,448,1756,18512,27.87,-955,-11624,6726,345,716,461
688,-6744,14608,28.86,2772,-553,-19,0,580,705,-6376,6076,13380,27.97,4319,-2003,1680,905,830,584
3980,-8756,13768,28.91,-390,526,623,2,675,918,-3732,8172,14248,27.97,-291,-89,-691,930,858,576
2648,-8616,13872,28.91,-5352,2791,3607,0,563,944,-3528,6616,14764,27.92,-3483,2121,-300,877,844,535
1332,-10756,15936,28.86,-13325,-4170,-140,0,467,840,-5936,5368,16968,27.92,6977,21177,-4287,425,644,370
3148,-7288,5916,28.81,3524,-5206,-4028,0,366,495,-1836,2504,-1128,27.97,603,-7,3238,368,371,45
5404,-17288,4400,28.91,2723,9109,3613,0,288,268,1488,2288,17428,27.97,-6667,-14500,3818,371,630,406
1336,-9568,12628,28.86,3527,1111,-121,0,733,829,-3836,6312,15536,27.87,438,-2316,1061,902,814,645
3536,-7340,13264,28.77,649,-2669,-1009,0,855,965,-3904,6464,14896,27.87,-3271,944,-908,922,840,692
4856,-8900,13544,28.91,-3293,3766,3377,0,859,982,-3820,5184,14648,27.87,-3424,1736,-89,877,774,538
4316,-11828,12348,28.86,-5842,-2457,175,0,592,963,-6444,6112,19492,28.01,6917,20285,-1980,439,625,369
1984,-14568,7856,28.77,-7440,-6732,-4996,0,437,587,-4212,1340,4772,27.97,1101,-4231,7451,373,382,68
8908,-5132,6164,28.81,13664,3413,-2148,0,331,435,-4080,-4764,14884,27.87,-3701,-14426,665,355,590,301
-1860,-5116,16568,28.86,16503,-3273,-7606,0,667,869,-2244,2632,15124,27.97,1562,-309,1261,916,790,553
7652,-9960,13312,28.81,991,-974,-963,0,864,980,-3868,5968,14672,27.87,-3609,629,-1816,930,808,553
4588,-9844,13048,28.81,-2222,3822,3457,0,879,985,-1844,2428,14464,27.87,-1014,405,-155,892,753,386
692,-8724,12084,28.86,-2493,2076,1577,0,807,964,-7260,6204,16564,27.92,7529,9425,183,429,542,178
2688,-8144,16560,28.86,-6524,-5876,-2687,0,664,850,-5236,3652,10052,27.92,237,-2563,7279,352,379,34
6560,-10472,4556,28.81,-7655,-2947,-1591,0,472,524,-8616,-5064,17392,27.92,-8038,-11127,934,558,511,281
10324,-32768,8152,28.77,12901,5863,-4042,0,366,652,-3304,3264,14956,27.92,1981,-1223,1066,895,710,606
4708,-13548,17312,28.91,8872,-4262,-9075,0,578,806,-3952,8048,14848,27.97,-1670,191,-809,920,789,686
4380,-8584,13676,28.77,-483,1192,943,0,760,903,-3688,4796,14376,27.92,-4554,879,-932,901,761,593
3004,-9056,14100,28.86,-6058,3913,4862,0,602,945,-2284,4888,19328,27.92,10321,12327,-1753,520,662,580
224,-11380,9960,28.81,-8237,-1731,681,0,508,953,-3644,7360,6164,27.97,6722,-3844,2305,358,361,56
1612,-17640,7480,28.81,-13001,-11032,3103,0,376,879,-15640,2652,19264,27.92,-7800,-13409,3518,360,556,342
-1164,-8596,2944,28.86,-927,13441,5215,0,301,461,-7212,10428,14168,27.87,1829,-275,-640,874,818,682
-1056,-8860,16588,28.91,13444,5127,-5269,0,257,825,-3320,6232,15052,27.97,46,173,-382,922,850,724
3604,-10104,11156,28.77,-783,825,1200,1,760,871,-3104,5092,14632,27.92,-1931,633,-343,889,839,699
4160,-9808,13604,28.91,-1888,4994,3635,0,749,896,884,6040,18960,28.01,11127,15863,-3966,464,739,660
-1584,-8136,12776,28.81,-7832,-1196,-1525,0,530,791,-4588,7016,6508,27.97,1149,-4166,4014,360,334,114
4188,-14136,12408,28.86,-11249,-5895,2354,0,494,763,884,21080,13720,27.92,-10047,-15291,6695,365,414,180
1724,-3056,3864,28.86,1376,-452,-2053,2,320,486,10072,4432,18840,27.97,-414,-3051,-394,845,781,595
-40,-12616,13396,28.77,16310,3078,-5259,0,282,783,-3144,8228,14828,27.87,-426,-218,-343,928,838,694
8204,-9832,13432,28.81,833,-2912,-2020,0,733,920,-2948,6360,14544,27.97,-2621,933,-880,923,835,690
3752,-8184,13872,28.81,-2597,3266,2677,0,753,944,-2176,4072,15440,28.01,82,857,-276,852,802,651
