ivmeX,ivmeY,ivmeZ,tmp,GyroX,GyroY,GyroZ,A0,A1,A2,ivmeX2,ivmeY2,ivmeZ2,tmp2,GyroX2,GyroY2,GyroZ2,A02,A12,A22
4136,-9344,12564,29.42,-3150,-1710,-954,2,378,350,-3324,5332,14624,28.29,-397,-242,-470,837,558,663
5292,-11184,12480,29.42,-912,1249,-2567,0,375,345,-3048,5080,14780,28.29,570,-328,-296,878,634,703
4948,-9232,10288,29.28,-2995,-3897,-6637,0,380,349,-3440,6376,14780,28.15,572,-28,-241,889,674,730
3612,-10560,11316,29.33,-586,-1361,106,0,378,349,-3420,5616,14660,28.29,-861,194,-328,893,691,741
4616,-8692,11748,29.33,3702,1661,4351,3,372,351,-3572,5340,14616,28.34,-1462,264,60,898,692,718
6464,-9196,11380,29.28,4372,489,3684,0,367,354,-3256,5008,14876,28.29,-959,-146,472,899,668,659
-2464,489,3684,29.28,-2464,489,3684,0,362,358,-3348,5396,14852,28.34,-331,-161,461,856,612,644
-2464,489,3684,29.28,-2464,489,3684,0,324,404,-3388,5500,15444,28.25,964,3181,-94,544,494,627
-2464,489,3684,29.28,-2464,489,3684,0,403,878,-6348,6348,14128,28.20,2739,4269,-35,340,438,317
-2464,489,3684,29.28,-2464,489,3684,0,463,951,-3176,6368,12092,28.25,3311,-4249,4740,335,363,38
-2464,489,3684,29.28,-2464,489,3684,0,451,962,-4364,5496,13116,28.34,-2062,-698,1324,300,382,59
-2464,489,3684,29.28,-2464,489,3684,0,486,965,-4680,8812,15388,28.15,-2252,-3163,986,502,366,308
-2464,489,3684,29.28,-2464,489,3684,0,484,967,-3264,5220,14500,28.25,-1240,-720,-406,738,435,618
-2464,489,3684,29.28,-2464,489,3684,0,475,969,-2928,5564,14840,28.25,-1295,-512,-246,852,441,685
-2464,489,3684,29.28,-2464,489,3684,0,497,969,-3048,4640,14872,28.20,1859,-524,-52,888,525,760
-2464,489,3684,29.28,-2464,489,3684,0,492,971,-3180,5992,14512,28.25,607,-156,8,898,570,792
-2464,489,3684,29.28,-2464,489,3684,0,425,968,-3044,6148,14560,28.29,-715,50,-27,903,593,805
-2464,489,3684,29.28,-2464,489,3684,0,257,917,-3068,5452,14652,28.29,-235,100,201,902,593,809
-2464,489,3684,29.28,-2464,489,3684,0,308,503,-3244,6076,14564,28.29,139,-21,237,866,518,800
4476,-10212,9488,29.33,3533,2607,-579,0,327,482,-2940,6164,14992,28.20,-14,354,2,764,483,774
4204,-8208,14984,29.28,1487,6736,2207,0,324,346,-4168,6296,14856,28.20,4185,2979,-2418,427,407,658
2712,-6880,15224,29.38,1586,2432,1531,0,472,549,-4216,5524,13984,28.25,730,362,127,333,376,278
1420,-9100,12896,29.33,647,-997,-254,0,590,784,-4580,7564,13712,28.29,-496,-1723,2506,300,351,89
2152,-9148,13124,29.42,652,462,618,0,690,892,-676,3524,17188,28.25,-3837,-1716,-2559,300,334,162
2460,-8924,13000,29.28,-472,-302,-244,1,695,926,-2508,5688,14700,28.20,-2724,-1255,-211,673,389,547
1768,-8836,13080,29.38,-777,81,-70,0,714,941,-2936,6312,14728,28.20,-1449,-708,-465,840,447,711
1580,-8724,13044,29.33,-1206,493,122,0,720,952,-2980,4628,14716,28.34,-738,-133,-268,892,537,778
1392,-9100,13352,29.33,-1472,117,-59,0,707,959,-3220,5824,14704,28.29,346,-223,-296,900,534,807
916,-9260,13132,29.42,-2132,-73,401,0,569,960,-3028,5576,14824,28.29,-268,-445,-628,907,594,821
2116,-9984,13104,29.28,-6041,-449,-214,0,450,954,-3064,5368,14852,28.15,-287,-44,-138,907,593,824
1292,-10888,12156,29.28,-16601,-2851,2294,7,278,933,-2860,5084,14632,28.20,336,194,358,908,596,813
-48,-15524,7752,29.28,4522,-2921,-4921,0,245,578,-2792,5696,14540,28.15,2079,-83,822,875,553,788
1584,-9940,7544,29.38,7487,147,-1166,0,259,460,-2292,5720,15032,28.20,1102,1184,-18,723,471,775
2556,-12736,12084,29.28,6910,4818,-861,0,256,326,-5684,7988,14652,28.25,3097,6811,-366,344,396,471
3872,-7492,15588,29.28,2996,2525,1579,2,641,720,-3656,6360,11744,28.34,-588,-2708,1765,327,360,27
824,-9132,12648,29.33,633,105,194,0,709,824,-2456,5388,10848,28.15,-3496,1095,-3036,286,337,47
908,-8984,12676,29.28,211,-204,180,0,766,897,-5992,9340,16132,28.34,-3806,-2779,577,652,356,459
